surface_form,search_arg,kind,pos_filter,ambiguity_flag,idiom_family,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,n_decades_pass,min_count,max_count,total_count,notes
Collapse,collapse,stem,,high,,7,14,22,45,59,116,140,179,294,382,592,786,845,713,792,914,1119,1313,1405,1465,16,7,1465,11202,Physical/structural senses dominate; sub-cluster analysis expected to isolate medical sense.
Exhaustion,exhaustion,stem,,med,,22,103,112,146,142,154,146,159,152,182,180,159,199,183,157,214,188,177,257,251,19,22,257,3283,
Debility,debility,stem,,low,,15,36,50,27,29,17,20,22,9,1,5,8,1,4,8,15,6,7,4,0,1,0,50,284,
Irritability,irritability,stem,,low,,12,28,29,27,23,30,37,28,42,50,37,27,40,38,19,30,35,31,34,26,1,12,50,623,
The blues,the blues,phrase,,med,,6,13,11,17,24,30,18,23,16,45,36,46,40,58,79,89,96,167,153,157,7,6,167,1124,Music sense grows over 20thc.
Chronic blues,chronic blues,phrase,,low,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Despondency,despondenc,stem,,low,,74,106,100,107,105,80,75,46,34,54,40,25,31,26,20,18,18,20,18,10,8,10,107,1007,
Profound despondency,profound despondency,phrase,,low,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,
Mental depression,mental depression,phrase,,low,,0,1,2,1,1,1,3,2,3,5,0,1,6,9,1,4,3,0,2,0,0,0,9,45,
Low spirits,low spirits,phrase,,low,,3,9,10,7,16,16,5,12,3,7,9,6,5,3,5,1,2,3,2,2,0,1,16,126,
Anxiety,anxiet,stem,,low,,484,703,807,926,856,997,1010,945,710,695,650,521,663,523,673,570,555,621,1068,1076,20,484,1076,15053,"Catches anxiety, anxieties."
Depressive,depressive,stem,,low,,0,0,0,0,0,1,0,0,4,2,3,5,27,7,19,25,25,21,72,65,2,0,72,276,
depression,depression,stem,,med,,61,105,134,169,158,283,225,381,331,289,478,1892,799,653,634,630,704,851,1143,944,20,61,1892,10864,Economic-depression sense dominates certain decades -- itself an interesting drift signal.
PTSD,ptsd,stem,,low,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,37,184,1,0,184,236,
Post-traumatic stress disorder,post-traumatic stress disorder,phrase,,low,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,16,52,1,0,52,81,Hyphen tokenization; also try 'post traumatic stress disorder'.
Post traumatic stress disorder,post traumatic stress disorder,phrase,,low,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,6,8,
Bipolar,bipolar,stem,,low,,0,0,1,0,0,0,0,0,2,1,5,0,5,86,3,5,8,32,118,94,3,0,118,360,
Autism,autis,stem,,low,,0,1,0,0,0,0,0,0,1,0,3,0,1,0,21,13,19,69,162,344,3,0,344,634,"Catches autism, autistic, autistics; note pre-1943 sense (Bleuler) differs."
Borderline personality disorder,borderline personality disorder,phrase,,low,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,7,0,0,7,12,
Excited delirium,excited delirium,phrase,,low,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,5,6,
Condition,condition,stem,,high,,1392,2742,3409,3754,3408,4583,4790,5610,6352,6789,6951,6359,4839,4461,4407,4013,3599,3952,3825,4465,20,1392,6951,89700,Very generic; sub-cluster analysis may isolate medical/mental sense.
Storm,storm,stem,,high,,726,1411,1813,1947,1739,2134,2082,2060,1851,1860,2576,1825,1656,1624,1735,1468,1590,2049,2345,2484,20,726,2576,36975,Weather dominates; retained mainly for 'brain storm' phrase.
Nerves,nerves,stem,,med,,100,260,391,309,380,499,379,427,493,615,570,765,554,570,454,342,348,365,441,465,20,100,765,8727,
complaint,complaint,stem,,med,,247,446,459,489,400,489,545,487,575,597,687,805,770,802,953,1006,967,1042,859,1043,20,247,1043,13668,Historical medical usage ('nervous complaint') distinct from grievance sense.
Temperament,temperament,stem,,med,,51,224,324,246,245,365,326,376,437,493,478,380,271,271,316,223,198,173,211,157,20,51,493,5765,
The vapors,the vapors,phrase,,low,,4,11,14,28,10,14,6,12,20,1,15,13,11,4,8,8,10,6,7,13,0,1,28,215,
The vapours,the vapours,phrase,,low,,6,16,31,1,1,12,1,2,4,4,2,3,1,1,0,0,2,0,1,1,0,0,31,89,British spelling variant.
Spells,spells,stem,,high,,22,41,76,48,74,66,90,85,91,90,118,117,120,122,123,149,168,170,210,176,17,22,210,2156,Magic/weather/duration senses dominate.
Attacks,attacks,stem,,high,,83,175,194,189,292,298,275,266,292,430,370,511,804,599,676,660,781,640,1578,1165,20,83,1578,10278,Military/general senses dominate.
Fits,fits,stem,NN,high,,70,69,83,94,113,136,98,92,81,85,86,98,95,114,117,103,109,116,115,116,20,69,136,1990,POS filter to noun forms drops the 'it fits' verb sense.
Brain trouble,brain trouble,phrase,,low,,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,
Head trouble,head trouble,phrase,,low,,0,0,0,1,0,1,0,2,0,0,0,0,2,0,0,0,0,1,2,0,0,0,2,9,
Affliction,affliction,stem,,low,,237,275,234,220,196,170,151,100,87,69,68,62,76,71,76,86,95,72,67,73,20,62,275,2485,
Berserk,berserk,stem,,low,,0,0,4,2,5,18,7,6,4,6,14,13,21,37,48,67,233,51,41,29,3,0,233,606,
Fury,fury,stem,,low,,261,521,556,411,369,367,343,409,447,415,615,515,514,435,424,352,406,346,451,466,20,261,615,8623,
Furious,furious,stem,,low,,123,368,415,394,351,424,411,458,500,642,728,789,693,686,647,556,703,688,632,600,20,123,789,10808,
Raving,raving,stem,,low,,38,75,95,79,78,90,86,67,67,57,77,77,55,37,78,75,75,75,70,62,18,37,95,1413,"Often collocates with 'mad', 'lunatic'."
Violent,violent,stem,,high,,468,853,954,967,836,964,833,868,876,1051,1095,1127,1156,1111,1127,1157,1101,1232,1173,1259,20,468,1259,20208,Very common; retained for its position in the semantic field.
Dangerous to self,dangerous to self,phrase,,low,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,
Suicidal tendency,suicidal tendency,phrase,,low,,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,0,2,4,5,3,0,0,5,20,
Suicide,suicid,stem,,low,,31,102,157,148,186,208,241,236,316,270,359,627,532,824,685,918,804,1060,1204,1292,19,31,1292,10200,"Catches suicide, suicides, suicidal."
Queer,queer,stem,,low,,20,114,139,311,292,579,628,757,1011,1370,1372,1133,785,532,385,232,186,163,152,186,19,20,1372,10347,Paradigm case for cluster-structure drift (strange -> pejorative -> reclaimed).
Odd,odd,stem,,high,,132,387,423,584,693,909,939,921,1033,1354,1395,1512,1645,1815,2100,1906,2112,2700,2778,2882,20,132,2882,28220,Numeric/odd-jobs senses dominate; sub-cluster analysis may isolate 'strange' sense.
Peculiar,peculiar,stem,,med,,1194,2567,2853,2783,2332,2534,2301,2206,1888,1703,1435,1146,1035,896,997,722,643,587,446,356,20,356,2853,30624,
Strange,strange,stem,,high,,2376,4826,5913,5717,5018,6041,6214,5998,6196,5885,6225,5779,5440,5023,4582,4914,4316,5113,5021,5055,20,2376,6225,105652,Very common; retained for semantic-field position.
Disturbed,disturbed,stem,,med,,259,386,419,515,455,587,536,553,560,570,704,663,644,670,682,542,444,382,387,258,20,258,704,10216,Also 'disturbed sleep/water' etc.
Unhinged,unhinged,stem,,low,,1,10,4,5,5,6,10,4,5,3,6,8,7,10,20,14,17,35,32,69,1,1,69,271,
Unbalanced,unbalanced,stem,,med,,1,1,2,11,11,5,17,20,25,30,46,72,56,66,56,53,37,46,69,85,7,1,85,709,Diet/budget senses coexist with mental sense.
Touched,touched,stem,JJ,high,,3,3,5,3,2,3,9,7,8,10,8,18,10,20,11,11,11,17,13,4,0,2,20,176,POS filter to adjective isolates the 'touched (in the head)' predicative sense from verb 'touched'.
Mad as a hatter,mad as a hatter,phrase,,low,,0,0,0,0,0,0,0,3,0,3,7,0,1,4,6,9,5,0,1,0,0,0,9,39,
Not right in the head,not right in the head,phrase,,low,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,2,0,0,3,10,
