pair_index,trial,target_n,fgw_cost,feature_cost,structure_cost
1,56,59,0.05747159953899211,0.1131658833410781,0.0003098641218196144
1,57,59,0.05680536854767656,0.11085188939409749,0.00042081839082913793
1,58,59,0.05660712979747359,0.11025121934333099,0.0014130382949035227
1,59,59,0.04561082125188197,0.08950063663897886,0.00023542887732246615
1,60,59,0.06196384845915685,0.1194345185817299,0.0002014926791195459
1,61,59,0.06620555111159786,0.12580070248094666,0.001299522763783786
1,62,59,0.06254407339129663,0.1203509533683123,0.0005845466980941194
1,63,59,0.0653665893863072,0.12811425873788745,0.00033080417863062947
1,64,59,0.07046496956036429,0.13364380810220372,0.0013307899369644233
1,65,59,0.07346036313282016,0.14203711542285108,0.0007759436840725931
1,66,59,0.05620503333077724,0.10942922792697365,0.0009847296836444862
1,67,59,0.061697925581524975,0.1183512593603741,0.0005063599825059237
1,68,59,0.0615620323544569,0.11609325338218181,0.0012009616624536468
1,69,59,0.053940054991414244,0.10583976433943901,0.00034114922356825235
1,70,59,0.05099757686245193,0.09933235454609846,0.000720090960107288
1,71,59,0.04693163063398259,0.09096134698997116,0.0003285371869419495
1,72,59,0.0680693534256586,0.13250491982799473,0.001110313135917898
1,73,59,0.05900968057526099,0.11587069045941717,0.00044458928761562425
1,74,59,0.05161805101941239,0.09927922748660643,0.000557891160967085
1,75,59,0.07016522635700757,0.13391431969101156,0.0007890217846381495
1,76,59,0.04681842530666695,0.09271767837768899,0.0001099991419618754
1,77,59,0.057690750133739525,0.11086346736903925,0.00030814285464133656
1,78,59,0.05745559921709392,0.1116967998697597,0.0003553100518209213
1,79,59,0.0766332407535943,0.14423281121051928,0.0013943720647096238
1,80,59,0.06972813934128488,0.1351162146713775,0.0007590614746132182
1,81,59,0.07087024393768944,0.13860985704902884,0.0004184130464386143
1,82,59,0.057453785078788316,0.1103224409333731,0.00054298095623221
1,83,59,0.0597257123267598,0.11625552270877168,0.0008017836319691653
1,84,59,0.057682886652137305,0.11264959447464709,0.0004116513766392167
